sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,HSs
2,12,15,7,1,10,2,16,112,0
2,12,16,6,1,10,2,16,96,0
2,12,17,3,1,10,2,16,48,0
2,12,18,2,1,10,2,16,32,0
2,12,19,4,1,10,2,16,64,0
2,12,20,4,1,10,2,16,64,0
2,12,21,1,1,10,2,16,16,0
2,12,22,1,1,10,2,16,16,0
2,13,1,16,1,10,2,16,256,0
2,13,2,6,1,10,2,16,96,0
2,13,3,19,1,10,2,16,304,0
2,13,4,22,1,10,2,16,352,0
2,13,5,24,1,10,2,16,384,0
2,13,6,13,1,10,2,16,208,0
2,13,7,5,1,10,2,16,80,0
2,13,8,6,1,10,2,16,96,0
2,13,9,7,1,10,2,16,112,0
2,13,10,11,1,10,2,16,176,0
2,13,11,11,1,10,2,16,176,0
2,13,12,9,1,10,2,16,144,0
2,13,13,5,1,10,2,16,80,0
2,13,14,2,1,10,2,16,32,0
2,13,15,5,1,10,2,16,80,0
2,13,16,5,1,10,2,16,80,0
2,13,17,5,1,10,2,16,80,0
2,13,18,3,1,10,2,16,48,0
2,13,19,1,1,10,2,16,16,0
2,13,20,0,1,10,2,16,0,0
2,13,21,0,1,10,2,16,0,0
2,13,22,0,1,10,2,16,0,0
2,14,1,18,1,10,2,16,288,0
2,14,2,11,1,10,2,16,176,0
2,14,3,28,1,10,2,16,448,0
2,14,4,10,1,10,2,16,160,0
2,14,5,28,1,10,2,16,448,0
2,14,6,14,1,10,2,16,224,0
2,14,7,10,1,10,2,16,160,0
2,14,8,6,1,10,2,16,96,0
2,14,9,7,1,10,2,16,112,1
2,14,10,8,1,10,2,16,128,0
2,14,11,9,1,10,2,16,144,0
2,14,12,10,1,10,2,16,160,0
2,14,13,7,1,10,2,16,112,0
2,14,14,10,1,10,2,16,160,0
2,14,15,4,1,10,2,16,64,0
2,14,16,2,1,10,2,16,32,0
2,14,17,2,1,10,2,16,32,0
2,14,18,2,1,10,2,16,32,0
2,14,19,1,1,10,2,16,16,0
2,14,20,0,1,10,2,16,0,0
2,14,21,0,1,10,2,16,0,0
2,14,22,0,1,10,2,16,0,0
2,15,1,13,1,10,2,16,208,0
2,15,2,19,1,10,2,16,304,0
2,15,3,25,1,10,2,16,400,0
2,15,4,17,1,10,2,16,272,0
2,15,5,20,1,10,2,16,320,1
2,15,6,17,1,10,2,16,272,0
2,15,7,5,1,10,2,16,80,0
2,15,8,11,1,10,2,16,176,0
2,15,9,9,1,10,2,16,144,0
2,15,10,10,1,10,2,16,160,0
2,15,11,10,1,10,2,16,160,1
2,15,12,14,1,10,2,16,224,0
2,15,13,6,1,10,2,16,96,0
2,15,14,7,1,10,2,16,112,0
2,15,15,4,1,10,2,16,64,0
2,15,16,6,1,10,2,16,96,0
2,15,17,6,1,10,2,16,96,0
2,15,18,1,1,10,2,16,16,0
2,15,19,1,1,10,2,16,16,0
2,15,20,0,1,10,2,16,0,0
2,15,21,0,1,10,2,16,0,0
2,15,22,0,1,10,2,16,0,0
1,10,1,9,1,10,3,24,216,0
1,10,2,16,1,10,3,24,384,0
1,10,3,24,1,10,3,24,276,0
1,10,4,18,1,10,3,24,432,0
1,10,5,14,1,10,3,24,336,0
1,10,6,13,1,10,3,24,312,0
1,10,7,11,1,10,3,24,264,0
1,10,8,11,1,10,3,24,264,0
1,10,9,15,1,10,3,24,360,0
1,10,10,16,1,10,3,24,384,0
1,10,11,9,1,10,3,24,216,0
1,10,12,8,1,10,3,24,192,0
1,10,13,10,1,10,3,24,240,0
1,10,14,6,1,10,3,24,144,0
1,10,15,2,1,10,3,24,48,0
1,10,16,1,1,10,3,24,24,0
1,10,17,1,1,10,3,24,24,0
1,10,18,0,1,10,3,24,0,0
1,10,19,0,1,10,3,24,0,0
1,10,20,0,1,10,3,24,0,0
1,10,21,0,1,10,3,24,0,0
1,10,22,0,1,10,3,24,0,0
1,11,1,6,1,10,3,24,144,0
1,11,2,22,1,10,3,24,528,0
1,11,3,17,1,10,3,24,408,0
1,11,4,29,1,10,3,24,696,0
1,11,5,15,1,10,3,24,360,0
1,11,6,15,1,10,3,24,360,0
1,11,7,7,1,10,3,24,168,0
1,11,8,10,1,10,3,24,240,0
1,11,9,14,1,10,3,24,336,0
1,11,10,15,1,10,3,24,360,0
1,11,11,13,1,10,3,24,312,0
1,11,12,12,1,10,3,24,288,0
1,11,13,4,1,10,3,24,96,0
