sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
2,11,17,5,2,10,1,15,75,0
1,12,17,1,2,10,1,15,15,0
2,12,17,2,2,10,1,15,30,0
1,13,17,0,2,10,1,15,0,0
2,13,17,3,2,10,1,15,45,0
1,14,17,0,2,10,1,15,0,0
2,14,17,1,2,10,1,15,15,0
1,15,17,0,2,10,1,15,0,0
2,15,17,6,2,10,1,15,90,0
1,10,18,1,2,10,1,15,15,0
2,10,18,4,2,10,1,15,60,0
1,11,18,1,2,10,1,15,15,0
2,11,18,2,2,10,1,15,30,0
1,12,18,0,2,10,1,15,0,0
2,12,18,4,2,10,1,15,60,0
1,13,18,0,2,10,1,15,0,0
2,13,18,4,2,10,1,15,60,0
1,14,18,0,2,10,1,15,0,0
2,14,18,2,2,10,1,15,30,0
1,15,18,0,2,10,1,15,0,0
2,15,18,0,2,10,1,15,0,0
1,10,19,0,2,10,1,15,0,0
2,10,19,1,2,10,1,15,15,0
1,11,19,0,2,10,1,15,0,0
2,11,19,4,2,10,1,15,60,0
1,12,19,0,2,10,1,15,0,0
2,12,19,3,2,10,1,15,45,0
1,13,19,0,2,10,1,15,0,0
2,13,19,1,2,10,1,15,15,0
1,14,19,0,2,10,1,15,0,0
2,14,19,1,2,10,1,15,15,0
1,15,19,0,2,10,1,15,0,0
2,15,19,1,2,10,1,15,15,0
1,10,20,0,2,10,1,15,0,0
2,10,20,1,2,10,1,15,15,0
1,11,20,1,2,10,1,15,15,0
2,11,20,1,2,10,1,15,15,0
1,12,20,0,2,10,1,15,0,0
2,12,20,1,2,10,1,15,15,0
1,13,20,0,2,10,1,15,0,0
2,13,20,0,2,10,1,15,0,0
1,14,20,0,2,10,1,15,0,0
2,14,20,0,2,10,1,15,0,0
1,15,20,0,2,10,1,15,0,0
2,15,20,0,2,10,1,15,0,0
1,10,21,0,2,10,1,15,0,0
2,10,21,1,2,10,1,15,15,0
1,11,21,0,2,10,1,15,0,0
2,11,21,0,2,10,1,15,0,0
1,12,21,0,2,10,1,15,0,0
2,12,21,2,2,10,1,15,30,0
1,13,21,0,2,10,1,15,0,0
2,13,21,1,2,10,1,15,15,0
1,14,21,0,2,10,1,15,0,0
2,14,21,0,2,10,1,15,0,0
1,15,21,0,2,10,1,15,0,0
2,15,21,0,2,10,1,15,0,0
1,10,22,0,2,10,1,15,0,0
2,10,22,2,2,10,1,15,30,0
1,11,22,0,2,10,1,15,0,0
2,11,22,0,2,10,1,15,0,0
1,12,22,0,2,10,1,15,0,0
2,12,22,0,2,10,1,15,0,0
1,13,22,0,2,10,1,15,0,0
2,13,22,0,2,10,1,15,0,0
1,14,22,0,2,10,1,15,0,0
2,14,22,0,2,10,1,15,0,0
1,15,22,0,2,10,1,15,0,0
2,15,22,0,2,10,1,15,0,0
1,10,1,14,1,11,1,11,154,0
2,10,1,15,1,11,1,11,165,0
1,11,1,11,1,11,1,11,55,0
2,11,1,15,1,11,1,11,165,0
1,12,1,10,1,11,1,11,110,0
2,12,1,19,1,11,1,11,209,0
1,13,1,11,1,11,1,11,121,0
2,13,1,11,1,11,1,11,121,0
1,14,1,11,1,11,1,11,121,0
