sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP,SOPs
2,11,10,8,2,10,1,16,128,0,0
1,12,10,9,2,10,1,16,144,0,0
2,12,10,3,2,10,1,16,48,0,0
1,13,10,11,2,10,1,16,176,0,0
2,13,10,14,2,10,1,16,224,0,0
1,14,10,4,2,10,1,16,64,0,0
2,14,10,13,2,10,1,16,208,0,0
1,15,10,12,2,10,1,16,192,0,0
2,15,10,9,2,10,1,16,144,0,0
1,10,11,13,2,10,1,16,208,0,0
2,10,11,11,2,10,1,16,176,0,0
1,11,11,10,2,10,1,16,160,0,0
2,11,11,10,2,10,1,16,160,0,0
1,12,11,14,2,10,1,16,224,0,0
2,12,11,11,2,10,1,16,176,0,0
1,13,11,15,2,10,1,16,240,0,1
2,13,11,7,2,10,1,16,112,0,0
1,14,11,6,2,10,1,16,96,0,0
2,14,11,10,2,10,1,16,160,0,0
1,15,11,12,2,10,1,16,192,0,0
2,15,11,10,2,10,1,16,160,0,0
1,10,12,11,2,10,1,16,176,0,0
2,10,12,7,2,10,1,16,112,0,0
1,11,12,11,2,10,1,16,176,0,0
2,11,12,9,2,10,1,16,144,0,0
1,12,12,11,2,10,1,16,176,0,0
2,12,12,6,2,10,1,16,96,0,0
1,13,12,12,2,10,1,16,192,0,0
2,13,12,7,2,10,1,16,112,0,0
1,14,12,7,2,10,1,16,112,0,0
2,14,12,4,2,10,1,16,64,0,0
1,15,12,12,2,10,1,16,192,0,0
2,15,12,12,2,10,1,16,192,0,0
1,10,13,9,2,10,1,16,144,0,0
2,10,13,8,2,10,1,16,128,0,0
1,11,13,8,2,10,1,16,128,0,0
2,11,13,9,2,10,1,16,144,0,0
1,12,13,8,2,10,1,16,128,0,0
2,12,13,11,2,10,1,16,176,0,0
1,13,13,2,2,10,1,16,32,0,0
2,13,13,9,2,10,1,16,144,0,0
1,14,13,8,2,10,1,16,128,0,0
2,14,13,8,2,10,1,16,128,0,0
1,15,13,6,2,10,1,16,96,0,1
2,15,13,8,2,10,1,16,128,0,0
1,10,14,7,2,10,1,16,112,0,0
2,10,14,7,2,10,1,16,112,0,0
1,11,14,4,2,10,1,16,64,0,0
2,11,14,8,2,10,1,16,128,0,0
1,12,14,4,2,10,1,16,64,0,0
2,12,14,9,2,10,1,16,144,0,0
1,13,14,2,2,10,1,16,32,0,0
2,13,14,3,2,10,1,16,48,0,0
1,14,14,2,2,10,1,16,32,0,0
2,14,14,3,2,10,1,16,48,0,0
1,15,14,7,2,10,1,16,112,0,0
2,15,14,7,2,10,1,16,112,0,0
1,10,15,2,2,10,1,16,32,0,0
2,10,15,5,2,10,1,16,80,0,0
1,11,15,2,2,10,1,16,32,0,0
2,11,15,7,2,10,1,16,112,0,0
1,12,15,3,2,10,1,16,48,0,0
2,12,15,4,2,10,1,16,64,0,0
1,13,15,3,2,10,1,16,48,0,0
2,13,15,5,2,10,1,16,80,0,0
1,14,15,5,2,10,1,16,80,0,0
2,14,15,3,2,10,1,16,48,0,0
1,15,15,5,2,10,1,16,80,0,0
2,15,15,7,2,10,1,16,112,0,0
1,10,16,4,2,10,1,16,64,0,0
2,10,16,6,2,10,1,16,96,1,0
1,11,16,0,2,10,1,16,0,0,0
2,11,16,6,2,10,1,16,96,0,0
1,12,16,0,2,10,1,16,0,0,0
2,12,16,9,2,10,1,16,144,0,0
1,13,16,1,2,10,1,16,16,0,0
2,13,16,3,2,10,1,16,48,0,0
1,14,16,0,2,10,1,16,0,0,0
2,14,16,6,2,10,1,16,96,0,0
1,15,16,1,2,10,1,16,16,0,0
2,15,16,4,2,10,1,16,64,0,0
1,10,17,0,2,10,1,16,0,0,0
2,10,17,4,2,10,1,16,64,0,0
1,11,17,1,2,10,1,16,16,1,0
2,11,17,4,2,10,1,16,64,0,0
1,12,17,0,2,10,1,16,0,0,0
2,12,17,3,2,10,1,16,48,0,0
1,13,17,0,2,10,1,16,0,0,0
2,13,17,1,2,10,1,16,16,0,0
1,14,17,1,2,10,1,16,16,0,0
2,14,17,0,2,10,1,16,0,0,0
1,15,17,0,2,10,1,16,0,0,0
2,15,17,2,2,10,1,16,32,0,0
1,10,18,0,2,10,1,16,0,0,0
2,10,18,4,2,10,1,16,64,0,0
1,11,18,0,2,10,1,16,0,0,0
2,11,18,7,2,10,1,16,112,0,0
1,12,18,0,2,10,1,16,0,0,0
2,12,18,2,2,10,1,16,32,0,0
1,13,18,0,2,10,1,16,0,0,0
2,13,18,3,2,10,1,16,48,0,0
1,14,18,0,2,10,1,16,0,0,0
2,14,18,1,2,10,1,16,16,0,0
1,15,18,0,2,10,1,16,0,0,0
2,15,18,4,2,10,1,16,64,0,0
1,10,19,0,2,10,1,16,0,0,0
2,10,19,1,2,10,1,16,16,0,0
1,11,19,0,2,10,1,16,0,0,0
2,11,19,4,2,10,1,16,64,0,0
1,12,19,0,2,10,1,16,0,0,0
2,12,19,0,2,10,1,16,0,0,0
1,13,19,0,2,10,1,16,0,0,0
2,13,19,2,2,10,1,16,32,0,0
1,14,19,0,2,10,1,16,0,0,0
2,14,19,1,2,10,1,16,16,0,0
1,15,19,0,2,10,1,16,0,0,0
2,15,19,2,2,10,1,16,32,0,0
1,10,20,0,2,10,1,16,0,0,0
2,10,20,3,2,10,1,16,48,0,0
1,11,20,0,2,10,1,16,0,0,0
2,11,20,0,2,10,1,16,0,0,0
1,12,20,0,2,10,1,16,0,0,0
2,12,20,3,2,10,1,16,48,0,0
1,13,20,0,2,10,1,16,0,0,0
2,13,20,2,2,10,1,16,32,0,0
1,14,20,0,2,10,1,16,0,0,0
2,14,20,3,2,10,1,16,48,0,0
1,15,20,0,2,10,1,16,0,0,0
2,15,20,0,2,10,1,16,0,0,0
1,10,21,0,2,10,1,16,0,0,0
2,10,21,1,2,10,1,16,16,0,0
1,11,21,0,2,10,1,16,0,0,0
2,11,21,1,2,10,1,16,16,0,0
1,12,21,0,2,10,1,16,0,0,0
2,12,21,1,2,10,1,16,16,0,0
1,13,21,0,2,10,1,16,0,0,0
2,13,21,1,2,10,1,16,16,0,0
1,14,21,0,2,10,1,16,0,0,0
